keyword,department,weight,label,approved
목아파,이비인후과,2,목 통증,
명치아파,내과,3,명치 통증,
식후복부불편,내과,2,식사 후 복부 불편감,
흉부불편,내과,2,가슴 답답함,
쌕쌕거림,내과,2,쌕쌕거리는 숨소리,
소변통증,비뇨의학과,3,소변 시 통증·작열감,
피부가려움,피부과,3,피부 가려움,
등이아파,정형외과,3,등 통증,
허리옆통증,정형외과,2,척추 양옆 통증,
움직임시등통,정형외과,2,움직일 때 심해지는 등 통증,
코간지,이비인후과,3,코 가려움증,
맑은콧물,이비인후과,2,맑은 콧물 흐름,
눈빨개짐,안과,3,눈 충혈,
눈아파,안과,3,눈 통증·이물감,
복부팽만감,내과,2,복부 팽만감·가스,
불안감,정신건강의학과,3,불안감·초조함,
가슴철렁,정신건강의학과,2,가슴 철렁거림,
불안으로인수면,정신건강의학과,2,불안으로 인한 수면 장애,
무릎아파,정형외과,3,무릎 통증,
무릎붓기,정형외과,3,무릎 부종·뻣뻣함,
계단내려갈때무릎,정형외과,2,계단 내려갈 때 무릎 통증,
소변불편,비뇨의학과,2,소변 보기 불편·약해짐,
하복부불편,비뇨의학과,2,하복부 불편감,
